EPIC Nombre,EPIC Descripción,USER STORY Título,Como,Quiero,Para,AC Given,AC When,AC Then,TASKS
"Autenticación y Seguridad","Implementar acceso seguro con JWT para proteger los datos financieros del usuario en MVP1.","Registro de usuario","Como usuario nuevo","Quiero crear una cuenta con email y contraseña","Para empezar a usar ZENDA de forma segura","Given un email no registrado y una contraseña válida","When envío la solicitud de registro","Then se crea el usuario y recibo un token JWT válido","- Implementar DTO y validaciones en register | - Hashear contraseña con bcrypt y guardar en PostgreSQL vía Prisma | - Retornar response estandarizada con token y userId"
"Autenticación y Seguridad","Implementar acceso seguro con JWT para proteger los datos financieros del usuario en MVP1.","Inicio de sesión","Como usuario registrado","Quiero iniciar sesión con mis credenciales","Para acceder a mi información financiera","Given un usuario existente con credenciales válidas","When envío la solicitud de login","Then recibo un JWT válido con expiración configurada","- Implementar estrategia de validación de credenciales en AuthService | - Configurar JwtStrategy y guardas para rutas protegidas | - Agregar pruebas de integración para login exitoso y fallido"
"Autenticación y Seguridad","Implementar acceso seguro con JWT para proteger los datos financieros del usuario en MVP1.","Acceso restringido por token","Como usuario autenticado","Quiero que solo yo pueda acceder a mis datos","Para mantener mi privacidad financiera","Given una ruta protegida y un token inválido o ausente","When intento acceder al endpoint","Then la API responde 401 Unauthorized","- Aplicar JwtAuthGuard a módulos de negocio | - Estandarizar manejo de errores de autenticación en filtro global | - Documentar flujo de auth en README"
"Categorías de Transacciones","Permitir categorías del sistema y personalizadas para clasificar gastos e ingresos.","Listado de categorías disponibles","Como usuario autenticado","Quiero ver las categorías del sistema y mis categorías personalizadas","Para clasificar correctamente mis transacciones","Given que existen categorías del sistema y/o personalizadas","When consulto el endpoint de categorías","Then recibo el listado unificado ordenado por tipo y nombre","- Implementar consulta Prisma para categorías system/custom por userId | - Exponer endpoint GET /categories con DTO de respuesta | - Agregar seed de categorías base"
"Categorías de Transacciones","Permitir categorías del sistema y personalizadas para clasificar gastos e ingresos.","Crear categoría personalizada","Como usuario autenticado","Quiero crear una categoría propia","Para adaptar ZENDA a mis hábitos financieros","Given un nombre de categoría válido y no duplicado para ese usuario","When envío la solicitud de creación","Then se crea la categoría personalizada asociada a mi cuenta","- Implementar validación de unicidad por userId+name | - Crear endpoint POST /categories con DTO create | - Agregar constraints e índices en Prisma"
"Categorías de Transacciones","Permitir categorías del sistema y personalizadas para clasificar gastos e ingresos.","Evitar colisiones con categorías del sistema","Como usuario autenticado","Quiero que no se me permita duplicar una categoría del sistema","Para evitar ambigüedad en reportes","Given una categoría del sistema con nombre existente","When intento crear una categoría personalizada con el mismo nombre","Then la API responde error de negocio indicando nombre no permitido","- Agregar regla de dominio en CategoriesService | - Mapear error a respuesta HTTP 409 Conflict | - Cubrir escenario con test de servicio"
"Registro de Gastos por Texto","Permitir registrar transacciones rápidamente mediante texto natural para reducir fricción de uso.","Registrar gasto desde texto simple","Como usuario autenticado","Quiero escribir un texto como 'almuerzo 35'","Para guardar un gasto de forma rápida","Given un texto con concepto y monto válido","When envío la creación de transacción por texto","Then se guarda la transacción con tipo gasto, monto y descripción","- Implementar parser básico en LocalRulesProvider | - Integrar parser en TransactionsService create | - Validar monto positivo y formato en DTO"
"Registro de Gastos por Texto","Permitir registrar transacciones rápidamente mediante texto natural para reducir fricción de uso.","Asignación automática de categoría","Como usuario autenticado","Quiero que el sistema sugiera categoría según palabras clave","Para no clasificar manualmente cada gasto","Given una transacción por texto con keyword conocida","When se procesa el texto","Then la transacción se guarda con la categoría sugerida","- Definir diccionario de keywords por categoría | - Implementar mapeo en proveedor AI/rules local | - Guardar categoryId resultante en transacción"
"Registro de Gastos por Texto","Permitir registrar transacciones rápidamente mediante texto natural para reducir fricción de uso.","Corrección manual de categoría","Como usuario autenticado","Quiero editar la categoría asignada automáticamente","Para asegurar precisión en mis datos","Given una transacción existente del usuario","When actualizo su categoría con una categoría válida","Then la transacción queda reclasificada correctamente","- Crear endpoint PATCH /transactions/:id/category | - Validar ownership por userId antes de actualizar | - Registrar auditoría mínima en logs de aplicación"
"Registro de Gastos por Texto","Permitir registrar transacciones rápidamente mediante texto natural para reducir fricción de uso.","Registro de ingreso por texto","Como usuario autenticado","Quiero registrar ingresos con texto como 'salario 1200'","Para llevar balance completo de mis finanzas","Given un texto reconocido como ingreso con monto válido","When creo la transacción por texto","Then se almacena con tipo ingreso y categoría correspondiente","- Extender parser para detectar intención ingreso/gasto | - Ajustar DTO para soportar tipo detectado | - Probar casos borde de clasificación"
